"item","cluster","eta1","eta2","eta3","eta4","eta5","eta_resp1","eta_resp2","eta_resp3","eta_resp4","eta_resp5"
"B4Q3A",2,-0.0116184709074172,-0.011732896715935,-0.00376337411942543,0.000444888245849739,0.00160444836342744,-0.00356537016781101,-0.00352945951173712,-0.00143111090830677,0.000609539945794708,0.000432633457928903
"B4Q3B",2,-0.000152348149215752,0.00891184923850238,-0.0044539697747202,-0.00762200262385604,-0.000150054420640709,-0.00126037524936271,0.00394692328948871,-0.00387911316387099,-0.00456779955309279,-4.04616093350792e-05
"B4Q3C",1,0.00206629178430347,-0.0115564533185184,0.0166952604104571,0.00906564259816984,0.00812360963402576,0.000340250407963678,-0.0086452078073803,0.0129640904255316,0.00714041235004572,0.0021905007396594
"B4Q3D",1,0.00317128561414269,-0.0123179401199687,0.00923634375011344,0.00334288794751741,0.00114873321424846,0.000253868239240353,-0.00636107760290959,0.00586604458084692,0.00223608922375222,0.000309751584436436
"B4Q3E",2,0.00792326308889368,0.00905703124820448,-0.0179686520955649,-0.00827831623036508,-0.0181774959837284,0.00334401963239429,0.00959071336637948,-0.016431259549922,-0.00883253970916792,-0.00490149332517601
"B4Q3F",1,-0.00210210052284009,-1.95773527189627e-05,0.0124243136591521,0.00622399734898253,0.00660450406247116,-0.00155733044697919,-0.003539330891637,0.00970993808116967,0.0051229978083265,0.00178087964410929
"B4Q3G",2,-0.0202993735494821,0.00470147664774158,0.0127496993268565,-0.0191233031115767,-0.00205569430797131,-0.0181653699481188,-0.00103709017575667,0.00241341697034623,-0.0118213004427565,-0.000554310227225094
"B4Q3H",1,0.013836987476785,-0.00917940349288835,0.0116799709560106,0.0121492474099293,0.0202449610925215,0.00924546641091517,-0.00856184357309056,0.0144681663261895,0.011580286971405,0.00545897750450715
"B4Q3I",2,-0.0132509470436135,0.00310150469054105,0.00727832318433751,-0.00863490923135727,-0.00726269080677457,-0.0112271146636752,0.000518554615499114,3.62641453366041e-05,-0.00669908389878607,-0.00195835722060334
"B4Q3J",2,-0.0118127263948951,-0.00681055204516019,0.0175848651579207,-0.00819881896961205,0.0125487014561334,-0.0104923535437595,-0.00812503237180408,0.0113738844727612,-0.00218200936168432,0.00338371008206647
"B4Q3K",1,0.00989733393482801,0.00153032632739025,-0.0245717608284252,0.0104573445997447,0.00689457531644604,0.0147547099441658,0.00482740163614806,-0.00892512897305816,0.00770443305366698,0.00185909626516953
"B4Q3L",1,0.0129120283750828,-0.00714656758814709,0.00940083947179725,0.0276650022560182,0.0190411932998879,0.0137636348209974,-0.00694752308318245,0.0159286986944115,0.0205544023498274,0.00513438605330082
